Critical price boundary

10 steps:
 0.000000,83.797435
 0.100000,84.308800
 0.200000,84.794874
 0.300000,85.426113
 0.400000,86.098956
 0.500000,86.985885
 0.600000,87.980198
 0.700000,89.232245
 0.800000,90.801343
 0.900000,93.352614
 1.000000,100.000000
-------------------------
50 steps:
 0.000000,82.215347
 0.020000,82.283236
 0.040000,82.376627
 0.060000,82.465757
 0.080000,82.531480
 0.100000,82.660226
 0.120000,82.781346
 0.140000,82.883219
 0.160000,82.976603
 0.180000,83.082752
 0.200000,83.194997
 0.220000,83.279373
 0.240000,83.421455
 0.260000,83.575127
 0.280000,83.672087
 0.300000,83.817737
 0.320000,83.927513
 0.340000,84.056223
 0.360000,84.203274
 0.380000,84.372402
 0.400000,84.488605
 0.420000,84.633697
 0.440000,84.801556
 0.460000,84.952660
 0.480000,85.101540
 0.500000,85.276388
 0.520000,85.535159
 0.540000,85.660825
 0.560000,85.878850
 0.580000,86.059431
 0.600000,86.282586
 0.620000,86.492536
 0.640000,86.698310
 0.660000,86.960240
 0.680000,87.223816
 0.700000,87.523910
 0.720000,87.844510
 0.740000,88.055103
 0.760000,88.402684
 0.780000,88.669922
 0.800000,88.978891
 0.820000,89.502873
 0.840000,89.945011
 0.860000,90.519122
 0.880000,90.994466
 0.900000,91.684399
 0.920000,92.350142
 0.940000,93.242923
 0.960000,94.357938
 0.980000,96.005436
 1.000000,100.000000
-----------------------
100 steps:
 0.000000,81.905893
 0.010000,81.914085
 0.020000,81.925809
 0.030000,81.939156
 0.040000,82.042402
 0.050000,82.058813
 0.060000,82.074953
 0.070000,82.119662
 0.080000,82.196543
 0.090000,82.296049
 0.100000,82.403085
 0.110000,82.462711
 0.120000,82.479206
 0.130000,82.487455
 0.140000,82.564020
 0.150000,82.608525
 0.160000,82.654949
 0.170000,82.694266
 0.180000,82.743056
 0.190000,82.751055
 0.200000,82.756956
 0.210000,82.995419
 0.220000,83.003720
 0.230000,83.047272
 0.240000,83.083267
 0.250000,83.214282
 0.260000,83.232789
 0.270000,83.262899
 0.280000,83.271226
 0.290000,83.337121
 0.300000,83.331969
 0.310000,83.596535
 0.320000,83.604896
 0.330000,83.617695
 0.340000,83.684328
 0.350000,83.849456
 0.360000,83.857842
 0.370000,83.866228
 0.380000,84.050924
 0.390000,84.083871
 0.400000,84.123404
 0.410000,84.229493
 0.420000,84.258039
 0.430000,84.399919
 0.440000,84.506682
 0.450000,84.526059
 0.460000,84.551302
 0.470000,84.566581
 0.480000,84.464237
 0.490000,84.854808
 0.500000,84.877001
 0.510000,84.881010
 0.520000,85.100622
 0.530000,85.110517
 0.540000,85.327396
 0.550000,85.431759
 0.560000,85.566499
 0.570000,85.662604
 0.580000,85.691823
 0.590000,85.823785
 0.600000,85.995893
 0.610000,86.075353
 0.620000,86.140010
 0.630000,86.271146
 0.640000,86.310221
 0.650000,86.415817
 0.660000,86.619697
 0.670000,86.628360
 0.680000,86.630281
 0.690000,87.012627
 0.700000,87.167440
 0.710000,87.336588
 0.720000,87.413933
 0.730000,87.467087
 0.740000,87.753828
 0.750000,87.867663
 0.760000,87.973926
 0.770000,88.111333
 0.780000,88.422990
 0.790000,88.585258
 0.800000,88.671476
 0.810000,88.985594
 0.820000,89.145416
 0.830000,89.321761
 0.840000,89.337656
 0.850000,89.907970
 0.860000,90.160432
 0.870000,90.247846
 0.880000,90.631764
 0.890000,90.788647
 0.900000,91.152731
 0.910000,91.378200
 0.920000,91.892153
 0.930000,92.425678
 0.940000,92.679927
 0.950000,93.366624
 0.960000,93.897677
 0.970000,94.787279
 0.980000,95.529494
 0.990000,96.880729
 1.000000,100.000000
